Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD
2024-01-12,Zepto,E-commerce,Quick Commerce,Mumbai,Nexus Venture Partners,Series A,10000000
2024-02-15,CRED,FinTech,Credit Platform,Bengaluru,Sequoia Capital,Series B,25000000
2024-03-20,UpGrad,EdTech,Online Learning,Mumbai,Tiger Global,Series C,15000000
2024-04-05,Boat,Consumer Electronics,Audio Products,Delhi,Warp Ventures,Series A,8000000
2024-05-18,Groww,FinTech,Investment Platform,Bengaluru,Y Combinator,Series D,30000000
2024-06-10,Physics Wallah,EdTech,Online Education,Noida,WestBridge Capital,Series B,12000000
2024-07-08,Lenskart,Retail,Eyewear,Delhi,SoftBank,Series E,45000000
2024-08-14,Meesho,E-commerce,Social Commerce,Bengaluru,Meta Ventures,Series D,35000000
2024-09-02,Razorpay,FinTech,Payment Gateway,Bengaluru,GIC,Series F,50000000
2024-10-22,Unacademy,EdTech,Online Learning,Bengaluru,General Atlantic,Series E,22000000
